																																																																																									
Set	Cluster	ID	ionMz	Label	59.0137	71.0139	74.0249	85.0296	87.0086	88.0405	89.0245	101.0243	102.0562	109.0407	112.0518	113.0246	115.0038	117.0195	118.051	118.9807	122.0247	128.0355	129.0192	130.0506	130.0875	131.0355	131.0824	132.0303	133.014	135.0311	145.0144	145.0617	145.0984	146.0458	147.0297	147.0655	151.0403	152.0354	153.0173	154.062	165.0554	166.0506	166.9758	168.0663	171.0302	173.0095	173.0454	173.0711	179.0348	179.0561	184.0021	186.1139	211.0603	213.0145	218.1033	225.0991	237.0282	249.0552	251.0776	259.0227	266.0886	279.2331	307.0311	316.2857	317.2143	323.0277	338.9889	346.0558	347.0589	362.0509	365.0531	367.0185	388.9441	397.1319	401.0173	426.0221	441.3372	489.9937	505.9889	521.984	545.3994	604.0696	606.0744	611.144	664.117	665.2139	766.1076	784.1495	808.118
A	WT	21	0021 / zwf1^ 1.2	zwf1^	47440	1354	2824	665	1240	739	1136	1283	1254	1496	1540	2132	2238	1103	36555	4288	321	31105	1362	668	17127	1628	26122	14705	17040	3805	366	36782	11638	65522	3092	3921	932	1062	2234	26734	2147	851	1134	2080	1238	1226	411	653	682	8768	20889	2232	2972	1492	2152	3201	5448	7523	1954	32423	632	6677	1997	604	1342	5162	50074	55532	7908	3461	3187	4465	2198	1762	1721	117719	2027	3532	133268	19391	2611	27588	80880	5886	28620	5168	6355	4444	5157
A	WT	22	0022 / zwf1^ 1.2	zwf1^	17198	630	1588	812	1834	649	504	1524	94	727	1229	2167	320	600	12842	4250	1300	9473	501	1097	8317	1	12432	3436	3943	3741	1253	9918	7553	12605	943	1681	928	665	1207	7633	3262	487	100	1473	1273	1316	390	951	1023	3398	10254	1410	2065	3973	1769	1915	3719	4770	1944	13299	2708	5206	953	1332	1894	4166	19799	25444	4176	2208	2455	3592	1065	1548	682	56266	1494	3802	68151	11879	1930	11496	34134	6666	13144	2487	2547	2245	1838
A	WT	23	0023 / zwf1^ 1.2	zwf1^	54984	1617	4276	1336	1824	1321	2519	1465	1764	1681	3248	4784	2135	2895	46735	5195	264	44665	823	759	33926	1159	41274	17912	22557	5570	2765	51354	20278	99336	3044	5180	1010	1516	1533	44384	1862	1035	664	4066	2690	2190	734	1115	1383	11009	27300	1923	5008	1281	2709	3160	7048	7153	1483	38115	580	4216	1814	468	2178	7041	61851	52860	8680	3371	2516	5061	1995	2326	1850	119313	2280	4002	155583	23031	2438	25944	70353	5177	25170	4997	5359	3172	5213
A	WT	24	0024 / zwf1^ 1.2	zwf1^	26001	547	2206	923	1096	744	1810	1147	530	1434	3155	2102	893	455	22316	7619	470	24936	1553	147	19332	652	26508	7881	5160	2781	1876	26112	13578	42482	2057	3009	1329	1693	2472	21108	2380	2209	1873	2866	1	1800	992	2082	659	4723	14221	1165	5691	2299	1793	2354	5133	5604	2284	23094	892	3016	1544	1955	2161	5846	31382	33918	4809	2253	3161	3069	1892	2914	833	70969	1873	3291	95268	14026	1646	15879	37319	3394	14941	3587	2941	2186	2682
A	WT	25	0025 / zwf1^ 1.2	zwf1^	69298	1251	5035	1480	3469	1505	1969	1807	1878	2889	6621	6620	3102	3571	71882	7489	1047	66053	4166	564	50979	1461	65431	26433	33698	5334	3341	82944	25051	167726	7855	7184	1419	2244	3191	71559	3318	1572	1159	2532	1318	3360	1649	2008	1875	13251	37391	2214	5466	5459	3536	3047	9607	8737	1987	46910	347	5685	1198	607	1616	8200	77237	62191	8355	3991	2966	5321	1999	2103	2119	145341	2272	4835	171624	24773	2468	30533	76129	5454	28380	4925	4766	3983	5425
A	WT	26	0026 / zwf1^ 1.2	zwf1^	82472	2081	7161	1681	2755	2027	3347	1504	1772	4631	6818	6767	5034	3750	89262	7335	2378	86983	2157	1328	66462	1528	69355	36671	37252	9097	3007	102764	36753	225085	9171	8748	2118	3172	5199	77847	3872	1376	631	2254	936	4313	1065	557	1667	15051	40358	920	3515	996	3275	2569	10955	10905	2125	50474	1417	5958	1665	978	1704	7663	80704	63449	9915	4461	3993	5636	2232	3190	2524	152377	2999	4015	186138	25474	3328	30339	85220	6274	32109	6093	7429	3863	5900
A	WT	27	0027 / zwf1^ 1.2	zwf1^	62862	3428	9693	2455	2748	2388	3938	1102	4055	8411	24659	10736	11341	13043	208231	13609	4828	177036	5825	2817	134730	1983	144798	95108	113555	13204	4481	204800	62113	571869	20210	17732	1350	4431	3221	145241	5581	2207	1800	4159	1561	4949	2603	3637	2435	20241	67444	784	4778	4882	5328	3836	17697	16646	2468	87530	1564	7757	1225	2112	1850	11969	114971	91634	11410	4204	3890	6469	1841	3210	3040	204875	3331	5718	213559	29324	2431	35064	99155	6647	39949	6713	6649	3890	6403
A	WT	28	0028 / zwf1^ 1.2	zwf1^	51114	1166	4227	1419	1893	2041	2593	871	911	2092	6470	5059	2958	2697	50522	5511	592	49385	2103	536	28983	697	47818	20139	26993	4518	2405	55431	23158	103188	3686	4987	682	1349	1854	52167	2921	958	1112	1582	2453	2427	712	1682	1545	9603	30438	1040	3759	1420	1716	2320	8869	7182	1331	36842	1432	4955	1403	1435	2341	7709	65728	56625	6897	3179	3438	4308	2027	2447	1638	156807	2929	3119	182827	28376	2476	29326	81132	3800	32658	5489	7216	3468	5578
A	WT	29	0029 / zwf1^ 1.2	zwf1^	47447	1904	4220	776	1696	1562	1892	320	627	1893	1453	3261	1485	1844	37779	4926	518	37065	1173	846	19469	1396	32176	15952	19364	3676	1228	33694	17398	72972	3670	4566	1963	1504	2817	28681	1099	348	625	1329	3211	1672	814	2475	877	8420	25230	82	4084	2559	2302	2343	7578	6898	3252	27969	1422	4348	786	1722	1712	4253	56198	51904	8693	2997	3247	5624	1902	2637	1335	111057	3076	3185	142339	18474	2488	22722	56690	4702	24348	4071	5285	1732	4153
A	WT	30	0030 / zwf1^ 1.2	zwf1^	85123	2451	7646	1417	2033	1484	3455	2164	2333	4374	6232	5032	5294	5931	100677	5789	1735	86728	3080	707	63455	1422	68233	39193	52084	6427	3208	102736	29587	243661	9695	8722	2027	1460	3138	71643	3646	2452	896	2720	391	2109	1201	1833	951	13800	43599	362	3911	2934	4297	3881	11989	12254	3072	47453	1028	5292	2081	959	917	6748	75694	63846	7597	3671	4127	5908	2646	3435	2574	151756	3623	4224	180771	25690	2407	25128	58460	4588	22463	2949	4624	3242	5078
